protein_idx	protein_id	uniprot_accession	gene_symbol	status
2587	pdb:2brb	O14757	CHEK1	pdb→sifts→uniprot
2588	pdb:2brc	P02829	HSP82	pdb→sifts→uniprot
2589	pdb:2brg	O14757	CHEK1	pdb→sifts→uniprot
2590	pdb:2brh	O14757	CHEK1	pdb→sifts→uniprot
2591	pdb:2brm	O14757	CHEK1	pdb→sifts→uniprot
2592	pdb:2brn	O14757	CHEK1	pdb→sifts→uniprot
2593	pdb:2bro	O14757	CHEK1	pdb→sifts→uniprot
2594	pdb:2brp	Q54873		pdb→sifts→uniprot
2595	pdb:2bt9	Q8XXK6	rsl	pdb→sifts→uniprot
2596	pdb:2btr	P24941	CDK2	pdb→sifts→uniprot
2597	pdb:2bts	P24941	CDK2	pdb→sifts→uniprot
2598	pdb:2bu5	Q15119	PDK2	pdb→sifts→uniprot
2599	pdb:2bua	P22411	DPP4	pdb→sifts→uniprot
2600	pdb:1vcj	P03474	NA	pdb→sifts→uniprot
2601	pdb:1vcu	Q9Y3R4	NEU2	pdb→sifts→uniprot
2602	pdb:1vea	P10943	hutP	pdb→sifts→uniprot
2603	pdb:1veb	P00517	PRKACA	pdb→sifts→uniprot
2604	pdb:1vfn	P55859	PNP	pdb→sifts→uniprot
2605	pdb:1vgc	P00766		pdb→sifts→uniprot
2606	pdb:1vij	P12499	gag-pol	pdb→sifts→uniprot
2607	pdb:1vik	P12499	gag-pol	pdb→sifts→uniprot
2608	pdb:1vj5	P34913	EPHX2	pdb→sifts→uniprot
2609	pdb:1vj6	Q64512	Ptpn13	pdb→sifts→uniprot
2610	pdb:1vj9	P00749	PLAU	pdb→sifts→uniprot
2611	pdb:1vja	P00749	PLAU	pdb→sifts→uniprot
2612	pdb:1vjb	P62508	ESRRG	pdb→sifts→uniprot
2613	pdb:1vjc	Q7SIB7	PGK1	pdb→sifts→uniprot
2614	pdb:1vjd	Q7SIB7	PGK1	pdb→sifts→uniprot
2615	pdb:1vjy	P36897	TGFBR1	pdb→sifts→uniprot
2616	pdb:1vkj	O35310	Hs3st1	pdb→sifts→uniprot
2617	pdb:1vot	P04058	ache	pdb→sifts→uniprot
2618	pdb:1vr1	P00734	F2	pdb→sifts→uniprot
2619	pdb:1vrt	P04585	gag-pol	pdb→sifts→uniprot
2620	pdb:1vru	P04585	gag-pol	pdb→sifts→uniprot
2621	pdb:1vsn	P43235	CTSK	pdb→sifts→uniprot
2622	pdb:1vso	P22756	Grik1	pdb→sifts→uniprot
2623	pdb:1vwf	P22629		pdb→sifts→uniprot
2624	pdb:1vwl	P22629		pdb→sifts→uniprot
2625	pdb:1vwn	P22629		pdb→sifts→uniprot
2626	pdb:1vyf	P29498		pdb→sifts→uniprot
2627	pdb:1vyg	P29498		pdb→sifts→uniprot
2628	pdb:1vyj	P12004	PCNA	pdb→sifts→uniprot
2629	pdb:1vyq	Q8II92		pdb→sifts→uniprot
2630	pdb:1vyw	P24941	CDK2	pdb→sifts→uniprot
2631	pdb:1vyz	P24941	CDK2	pdb→sifts→uniprot
2632	pdb:1vzq	P00734	F2	pdb→sifts→uniprot
2633	pdb:1w0x	P24941	CDK2	pdb→sifts→uniprot
2634	pdb:1w0y	P08709	F7	pdb→sifts→uniprot
2635	pdb:1w0z	P00749	PLAU	pdb→sifts→uniprot
2636	pdb:1w10	P00749	PLAU	pdb→sifts→uniprot
2637	pdb:1w11	P00749	PLAU	pdb→sifts→uniprot
2638	pdb:1w12	P00749	PLAU	pdb→sifts→uniprot
2639	pdb:1w13	P00749	PLAU	pdb→sifts→uniprot
2640	pdb:1w14	P00749	PLAU	pdb→sifts→uniprot
2641	pdb:1w1d	O15530	PDPK1	pdb→sifts→uniprot
2642	pdb:1w1g	O15530	PDPK1	pdb→sifts→uniprot
2643	pdb:1w1p	Q54276	chiB	pdb→sifts→uniprot
2644	pdb:1w1t	Q54276	chiB	pdb→sifts→uniprot
2645	pdb:1w1v	Q54276	chiB	pdb→sifts→uniprot
2646	pdb:1w1y	Q54276	chiB	pdb→sifts→uniprot
2647	pdb:1w22	Q9BY41	HDAC8	pdb→sifts→uniprot
2648	pdb:1w2g	P9WKE1	tmk	pdb→sifts→uniprot
2649	pdb:1w2h	P9WKE1	tmk	pdb→sifts→uniprot
2650	pdb:1w2k	P08709	F7	pdb→sifts→uniprot
2651	pdb:1w2x	Q00955	ACC1	pdb→sifts→uniprot
2652	pdb:1w31	P05373	HEM2	pdb→sifts→uniprot
2653	pdb:1w3j	Q08638	bglA	pdb→sifts→uniprot
2654	pdb:1w3k	O85465	cel5A	pdb→sifts→uniprot
2655	pdb:1w3l	O85465	cel5A	pdb→sifts→uniprot
2656	pdb:1w4l	P04058	ache	pdb→sifts→uniprot
2657	pdb:1w4o	P61823	RNASE1	pdb→sifts→uniprot
2658	pdb:1w4p	P61823	RNASE1	pdb→sifts→uniprot
2659	pdb:1w4q	P61823	RNASE1	pdb→sifts→uniprot
2660	pdb:1w51	P56817	BACE1	pdb→sifts→uniprot
2661	pdb:1w5v	P03366	gag-pol	pdb→sifts→uniprot
2662	pdb:1w5w	P03366	gag-pol	pdb→sifts→uniprot
2663	pdb:1w5x	P03366	gag-pol	pdb→sifts→uniprot
2664	pdb:1w5y	P03366	gag-pol	pdb→sifts→uniprot
2665	pdb:1w6h	P46925	PMII	pdb→sifts→uniprot
2666	pdb:1w6j	P48449	LSS	pdb→sifts→uniprot
2667	pdb:1w6r	P04058	ache	pdb→sifts→uniprot
2668	pdb:1w6y	P07445	ksi	pdb→sifts→uniprot
2669	pdb:1w70	Q15080	NCF4	pdb→sifts→uniprot
2670	pdb:1w76	P04058	ache	pdb→sifts→uniprot
2671	pdb:1w7g	P00734	F2	pdb→sifts→uniprot
2672	pdb:1w7x	P08709	F7	pdb→sifts→uniprot
2673	pdb:1w80	P17427	Ap2a2	pdb→sifts→uniprot
2674	pdb:1w82	Q16539	MAPK14	pdb→sifts→uniprot
2675	pdb:1w83	Q16539	MAPK14	pdb→sifts→uniprot
2676	pdb:1w84	Q16539	MAPK14	pdb→sifts→uniprot
2677	pdb:1w8l	P62937	PPIA	pdb→sifts→uniprot
2678	pdb:1w8m	P62937	PPIA	pdb→sifts→uniprot
2679	pdb:1w96	Q00955	ACC1	pdb→sifts→uniprot
2680	pdb:1w9u	Q873X9	chiB1	pdb→sifts→uniprot
2681	pdb:1w9v	E9QRF2	chiB1	pdb→sifts→uniprot
2682	pdb:1waw	Q13231	CHIT1	pdb→sifts→uniprot
2683	pdb:1wax	P18031	PTPN1	pdb→sifts→uniprot
2684	pdb:1way	P00734	F2	pdb→sifts→uniprot
2685	pdb:1wb0	Q13231	CHIT1	pdb→sifts→uniprot
2686	pdb:1wbg	P00734	F2	pdb→sifts→uniprot
2687	pdb:1wbn	Q16539	MAPK14	pdb→sifts→uniprot
2688	pdb:1wbs	Q16539	MAPK14	pdb→sifts→uniprot
2689	pdb:1wbt	Q16539	MAPK14	pdb→sifts→uniprot
2690	pdb:1wbv	Q16539	MAPK14	pdb→sifts→uniprot
2691	pdb:1wbw	Q16539	MAPK14	pdb→sifts→uniprot
2692	pdb:1wc1	O32393	cyaC	pdb→sifts→uniprot
2693	pdb:1wc6	O32393	cyaC	pdb→sifts→uniprot
2694	pdb:1wcc	P24941	CDK2	pdb→sifts→uniprot
2695	pdb:1wcq	Q02834	nedA	pdb→sifts→uniprot
2696	pdb:1wdn	P0AEQ3	glnH	pdb→sifts→uniprot
2697	pdb:1wdq	P10538	BMY1	pdb→sifts→uniprot
2698	pdb:1wdr	P10538	BMY1	pdb→sifts→uniprot
2699	pdb:1wdy	Q05823	RNASEL	pdb→sifts→uniprot
2700	pdb:1we2	P9WPY3	aroK	pdb→sifts→uniprot
2701	pdb:1wht	P08819	CBP2	pdb→sifts→uniprot
2702	pdb:1wkm	P56218	map	pdb→sifts→uniprot
2703	pdb:1wm1	O32449	pip	pdb→sifts→uniprot
2704	pdb:1wn6	P0C2P0	bsd	pdb→sifts→uniprot
2705	pdb:1wok	P09874	PARP1	pdb→sifts→uniprot
2706	pdb:1wqv	P08709	F7	pdb→sifts→uniprot
2707	pdb:1ws1	Q819U0	def1	pdb→sifts→uniprot
2708	pdb:1ws4	P18670		pdb→sifts→uniprot
2709	pdb:1ws5	P18670		pdb→sifts→uniprot
2710	pdb:1wss	P08709	F7	pdb→sifts→uniprot
2711	pdb:1wtg	P08709	F7	pdb→sifts→uniprot
2712	pdb:1wu1	P00742	F10	pdb→sifts→uniprot
2713	pdb:1wug	Q92831	KAT2B	pdb→sifts→uniprot
2714	pdb:1wum	Q92831	KAT2B	pdb→sifts→uniprot
2715	pdb:1wun	P08709	F7	pdb→sifts→uniprot
2716	pdb:1wuq	Q5SH52	folE	pdb→sifts→uniprot
2717	pdb:1wur	Q5SH52	folE	pdb→sifts→uniprot
2718	pdb:1wv7	P08709	F7	pdb→sifts→uniprot
2719	pdb:1wva	P05089	ARG1	pdb→sifts→uniprot
2720	pdb:1wvc	Q8Z5I4	rfbF	pdb→sifts→uniprot
2721	pdb:1wvj	P19491	Gria2	pdb→sifts→uniprot
2722	pdb:1wxz	P56658	ADA	pdb→sifts→uniprot
2723	pdb:1wzy	P28482	MAPK1	pdb→sifts→uniprot
2724	pdb:1x07	P60472	ispU	pdb→sifts→uniprot
2725	pdb:1x0n	P62993	GRB2	pdb→sifts→uniprot
2726	pdb:1x11	Q02410	APBA1	pdb→sifts→uniprot
2727	pdb:1x1z	O26232	pyrF	pdb→sifts→uniprot
2728	pdb:1x38	Q9XEI3	LOC123452238	pdb→sifts→uniprot
2729	pdb:1x39	Q9XEI3	LOC123452238	pdb→sifts→uniprot
2730	pdb:1x6u	P0A715	kdsA	pdb→sifts→uniprot
2731	pdb:1x70	P27487	DPP4	pdb→sifts→uniprot
2732	pdb:1x76	Q92731	ESR2	pdb→sifts→uniprot
2733	pdb:1x78	Q92731	ESR2	pdb→sifts→uniprot
2734	pdb:1x7a	P16293	F9	pdb→sifts→uniprot
2735	pdb:1x7b	Q92731	ESR2	pdb→sifts→uniprot
2736	pdb:1x7e	P03372	ESR1	pdb→sifts→uniprot
2737	pdb:1x7q	P04439	HLA-A	pdb→sifts→uniprot
2738	pdb:1x7r	P03372	ESR1	pdb→sifts→uniprot
2739	pdb:1x81	Q02293	Fntb	pdb→sifts→uniprot
2740	pdb:1x8b	P30291	WEE1	pdb→sifts→uniprot
2741	pdb:1x8d	P32156	rhaM	pdb→sifts→uniprot
2742	pdb:1x8j	Q26490		pdb→sifts→uniprot
2743	pdb:1x8r	P0A6D3	aroA	pdb→sifts→uniprot
2744	pdb:1x8s	O97111	par-6	pdb→sifts→uniprot
2745	pdb:1x8t	P0A6D3	aroA	pdb→sifts→uniprot
2746	pdb:1x9d	Q9UKM7	MAN1B1	pdb→sifts→uniprot
2747	pdb:1xa5	P62157	CALM	pdb→sifts→uniprot
2748	pdb:1xap	P10826	RARB	pdb→sifts→uniprot
2749	pdb:1xb7	P11474	ESRRA	pdb→sifts→uniprot
2750	pdb:1xbb	P43405	SYK	pdb→sifts→uniprot
2751	pdb:1xbc	P43405	SYK	pdb→sifts→uniprot
2752	pdb:1xbo	P18031	PTPN1	pdb→sifts→uniprot
2753	pdb:1xd0	P04746	AMY2A	pdb→sifts→uniprot
2754	pdb:1xdd	P20701	ITGAL	pdb→sifts→uniprot
2755	pdb:1xdg	P20701	ITGAL	pdb→sifts→uniprot
2756	pdb:1xff	P17169	glmS	pdb→sifts→uniprot
2757	pdb:1xfv	P40136	cya	pdb→sifts→uniprot
2758	pdb:1xge	P05020	pyrC	pdb→sifts→uniprot
2759	pdb:1xgi	P00811	ampC	pdb→sifts→uniprot
2760	pdb:1xgj	P00811	ampC	pdb→sifts→uniprot
2761	pdb:1xh3	P01889	HLA-B	pdb→sifts→uniprot
2762	pdb:1xh4	P00517	PRKACA	pdb→sifts→uniprot
2763	pdb:1xh5	P00517	PRKACA	pdb→sifts→uniprot
2764	pdb:1xh6	P00517	PRKACA	pdb→sifts→uniprot
2765	pdb:1xh7	P00517	PRKACA	pdb→sifts→uniprot
2766	pdb:1xh8	P00517	PRKACA	pdb→sifts→uniprot
2767	pdb:1xh9	P00517	PRKACA	pdb→sifts→uniprot
2768	pdb:1xhm	P62871	GNB1	pdb→sifts→uniprot
2769	pdb:1xhy	P19491	Gria2	pdb→sifts→uniprot
2770	pdb:1xjd	Q04759	PRKCQ	pdb→sifts→uniprot
2771	pdb:1xk5	O95149	SNUPN	pdb→sifts→uniprot
2772	pdb:1xk9	P11439	eta	pdb→sifts→uniprot
2773	pdb:1xka	P00742	F10	pdb→sifts→uniprot
2774	pdb:1xkk	P00533	EGFR	pdb→sifts→uniprot
2775	pdb:1xlx	Q07343	PDE4B	pdb→sifts→uniprot
2776	pdb:1xlz	Q07343	PDE4B	pdb→sifts→uniprot
2777	pdb:1xm4	Q07343	PDE4B	pdb→sifts→uniprot
2778	pdb:1xm6	Q07343	PDE4B	pdb→sifts→uniprot
2779	pdb:1xmu	Q07343	PDE4B	pdb→sifts→uniprot
2780	pdb:1xmy	Q07343	PDE4B	pdb→sifts→uniprot
2781	pdb:1xn0	Q07343	PDE4B	pdb→sifts→uniprot
2782	pdb:1xn2	P56817	BACE1	pdb→sifts→uniprot
2783	pdb:1xn3	P56817	BACE1	pdb→sifts→uniprot
2784	pdb:1xnx	O35627	Nr1i3	pdb→sifts→uniprot
2785	pdb:1xnz	P0AE18	map	pdb→sifts→uniprot
2786	pdb:1xo2	Q00534	CDK6	pdb→sifts→uniprot
2787	pdb:1xoe	P03472	NA	pdb→sifts→uniprot
2788	pdb:1xog	P03472	NA	pdb→sifts→uniprot
2789	pdb:1xom	Q08499	PDE4D	pdb→sifts→uniprot
2790	pdb:1xon	Q08499	PDE4D	pdb→sifts→uniprot
2791	pdb:1xoq	Q08499	PDE4D	pdb→sifts→uniprot
2792	pdb:1xor	Q08499	PDE4D	pdb→sifts→uniprot
2793	pdb:1xos	Q07343	PDE4B	pdb→sifts→uniprot
2794	pdb:1xot	Q07343	PDE4B	pdb→sifts→uniprot
2795	pdb:1xow	P10275	AR	pdb→sifts→uniprot
2796	pdb:1xoz	O76074	PDE5A	pdb→sifts→uniprot
2797	pdb:1xp0	O76074	PDE5A	pdb→sifts→uniprot
2798	pdb:1xp1	P03372	ESR1	pdb→sifts→uniprot
2799	pdb:1xp6	P03372	ESR1	pdb→sifts→uniprot
2800	pdb:2bub	P27487	DPP4	pdb→sifts→uniprot
2801	pdb:2buc	P22411	DPP4	pdb→sifts→uniprot
2802	pdb:2buv	P20372	pcaH	pdb→sifts→uniprot
2803	pdb:2bv4	Q7NX84		pdb→sifts→uniprot
2804	pdb:2bvd	P16218	celH	pdb→sifts→uniprot
2805	pdb:2bve	Q62230	Siglec1	pdb→sifts→uniprot
2806	pdb:2bvr	P00734	F2	pdb→sifts→uniprot
2807	pdb:2bvs	P00734	F2	pdb→sifts→uniprot
2808	pdb:2bvx	P00734	F2	pdb→sifts→uniprot
2809	pdb:2bw7	O32393	cyaC	pdb→sifts→uniprot
2810	pdb:2bxt	P00734	F2	pdb→sifts→uniprot
2811	pdb:2bxu	P00734	F2	pdb→sifts→uniprot
2812	pdb:2byh	P07900	HSP90AA1	pdb→sifts→uniprot
2813	pdb:2byi	P07900	HSP90AA1	pdb→sifts→uniprot
2814	pdb:2byp	Q8WSF8	LOC100533247	pdb→sifts→uniprot
2815	pdb:2byr	Q8WSF8	LOC100533247	pdb→sifts→uniprot
2816	pdb:2bys	Q8WSF8	LOC100533247	pdb→sifts→uniprot
2817	pdb:2bz5	P07900	HSP90AA1	pdb→sifts→uniprot
2818	pdb:2bz6	P08709	F7	pdb→sifts→uniprot
2819	pdb:2bz8	Q96B97	SH3KBP1	pdb→sifts→uniprot
2820	pdb:2bza	P00760	PRSS1	pdb→sifts→uniprot
2821	pdb:2bzz	P10153	RNASE2	pdb→sifts→uniprot
2822	pdb:2c02	P10153	RNASE2	pdb→sifts→uniprot
2823	pdb:2c0o	P08631	HCK	pdb→sifts→uniprot
2824	pdb:2c1a	P00517	PRKACA	pdb→sifts→uniprot
2825	pdb:2c1b	P00517	PRKACA	pdb→sifts→uniprot
2826	pdb:2c1n	P63104	YWHAZ	pdb→sifts→uniprot
2827	pdb:2c1p	Q58EU8	Igk	pdb→sifts→uniprot
2828	pdb:2c1q			pdb_not_in_sifts
2829	pdb:2c2l	Q9WUD1	Stub1	pdb→sifts→uniprot
2830	pdb:2c3i	P11309	PIM1	pdb→sifts→uniprot
2831	pdb:2c3j	O14757	CHEK1	pdb→sifts→uniprot
2832	pdb:2c3k	O14757	CHEK1	pdb→sifts→uniprot
2833	pdb:2c3l	O14757	CHEK1	pdb→sifts→uniprot
2834	pdb:2c4f	P08709	F7	pdb→sifts→uniprot
2835	pdb:2c4g	P24941	CDK2	pdb→sifts→uniprot
2836	pdb:2c4v	Q48255	aroQ	pdb→sifts→uniprot
2837	pdb:2c4w	Q48255	aroQ	pdb→sifts→uniprot
2838	pdb:2c57	Q48255	aroQ	pdb→sifts→uniprot
2839	pdb:2c5n	P24941	CDK2	pdb→sifts→uniprot
2840	pdb:2c5o	P24941	CDK2	pdb→sifts→uniprot
2841	pdb:2c5x	P24941	CDK2	pdb→sifts→uniprot
2842	pdb:2c5y	P24941	CDK2	pdb→sifts→uniprot
2843	pdb:2c68	P24941	CDK2	pdb→sifts→uniprot
2844	pdb:2c69	P24941	CDK2	pdb→sifts→uniprot
2845	pdb:2c6c	Q04609	FOLH1	pdb→sifts→uniprot
2846	pdb:2c6e	O14965	AURKA	pdb→sifts→uniprot
2847	pdb:2c6g	Q04609	FOLH1	pdb→sifts→uniprot
2848	pdb:2c6i	P24941	CDK2	pdb→sifts→uniprot
2849	pdb:2c6k	P24941	CDK2	pdb→sifts→uniprot
2850	pdb:2c6l	P24941	CDK2	pdb→sifts→uniprot
2851	pdb:2c6m	P24941	CDK2	pdb→sifts→uniprot
2852	pdb:2c6n	P12821	ACE	pdb→sifts→uniprot
2853	pdb:2c6o	P24941	CDK2	pdb→sifts→uniprot
2854	pdb:2c80	P30113		pdb→sifts→uniprot
2855	pdb:2c8w	P00734	F2	pdb→sifts→uniprot
2856	pdb:2c8x	P00734	F2	pdb→sifts→uniprot
2857	pdb:2c8y	P00734	F2	pdb→sifts→uniprot
2858	pdb:2c90	P00734	F2	pdb→sifts→uniprot
2859	pdb:2c92	P9WHE9	ribH	pdb→sifts→uniprot
2860	pdb:2c93	P00734	F2	pdb→sifts→uniprot
2861	pdb:2c94	P9WHE9	ribH	pdb→sifts→uniprot
2862	pdb:2c97	P9WHE9	ribH	pdb→sifts→uniprot
2863	pdb:2c9b	P9WHE9	ribH	pdb→sifts→uniprot
2864	pdb:2c9d	P9WHE9	ribH	pdb→sifts→uniprot
2865	pdb:2c9t	Q8WSF8	LOC100533247	pdb→sifts→uniprot
2866	pdb:2ca8	P30113		pdb→sifts→uniprot
2867	pdb:2cbj	Q0TR53	nagJ	pdb→sifts→uniprot
2868	pdb:2cbr	P62964	CRABP1	pdb→sifts→uniprot
2869	pdb:2cbs	P29373	CRABP2	pdb→sifts→uniprot
2870	pdb:2cbu	Q08638	bglA	pdb→sifts→uniprot
2871	pdb:2cbv	Q08638	bglA	pdb→sifts→uniprot
2872	pdb:2cbz	P33527	ABCC1	pdb→sifts→uniprot
2873	pdb:2cc7	B0R5M0		pdb→sifts→uniprot
2874	pdb:2ccb	B0R5M0		pdb→sifts→uniprot
2875	pdb:2ccc	B0R5M0		pdb→sifts→uniprot
2876	pdb:2ccs	P07900	HSP90AA1	pdb→sifts→uniprot
2877	pdb:2cct	P07900	HSP90AA1	pdb→sifts→uniprot
2878	pdb:2ccu	P07900	HSP90AA1	pdb→sifts→uniprot
2879	pdb:2ce9	Q04724	TLE1	pdb→sifts→uniprot
2880	pdb:2cej	Q8Q3H0	pol	pdb→sifts→uniprot
2881	pdb:2cem	Q8Q3H0	pol	pdb→sifts→uniprot
2882	pdb:2cen	Q5RZ09	pol	pdb→sifts→uniprot
2883	pdb:2ceo	P05543	SERPINA7	pdb→sifts→uniprot
2884	pdb:2ceq	P22498	lacS	pdb→sifts→uniprot
2885	pdb:2cer	P22498	lacS	pdb→sifts→uniprot
2886	pdb:2ces	Q08638	bglA	pdb→sifts→uniprot
2887	pdb:2cet	Q08638	bglA	pdb→sifts→uniprot
2888	pdb:2cex	P44542	siaP	pdb→sifts→uniprot
2889	pdb:2cf8	P00734	F2	pdb→sifts→uniprot
2890	pdb:2cf9	P00734	F2	pdb→sifts→uniprot
2891	pdb:2cfd	P46881		pdb→sifts→uniprot
2892	pdb:2cfg	P46881		pdb→sifts→uniprot
2893	pdb:2cgf	P02829	HSP82	pdb→sifts→uniprot
2894	pdb:2cgr	A2P1G9	Igkc	pdb→sifts→uniprot
2895	pdb:2cgu	O14757	CHEK1	pdb→sifts→uniprot
2896	pdb:2cgv	O14757	CHEK1	pdb→sifts→uniprot
2897	pdb:2cgw	O14757	CHEK1	pdb→sifts→uniprot
2898	pdb:2cgx	O14757	CHEK1	pdb→sifts→uniprot
2899	pdb:2chm	O76074	PDE5A	pdb→sifts→uniprot
2900	pdb:2cht	P19080	aroH	pdb→sifts→uniprot
2901	pdb:2chw	P48736	PIK3CG	pdb→sifts→uniprot
2902	pdb:2chx	P48736	PIK3CG	pdb→sifts→uniprot
2903	pdb:2chz	P48736	PIK3CG	pdb→sifts→uniprot
2904	pdb:2ci9	P16333	NCK1	pdb→sifts→uniprot
2905	pdb:2cia	O43639	NCK2	pdb→sifts→uniprot
2906	pdb:2cji	P00742	F10	pdb→sifts→uniprot
2907	pdb:2ckm	P04058	ache	pdb→sifts→uniprot
2908	pdb:2cle	P0A2K1	trpB	pdb→sifts→uniprot
2909	pdb:2clf	P0A2K1	trpB	pdb→sifts→uniprot
2910	pdb:2clh	P0A2K1	trpB	pdb→sifts→uniprot
2911	pdb:2cli	P0A2K1	trpB	pdb→sifts→uniprot
2912	pdb:2clk	P0A2K1	trpB	pdb→sifts→uniprot
2913	pdb:2cll	P0A2K1	trpB	pdb→sifts→uniprot
2914	pdb:2clm	P0A2K1	trpB	pdb→sifts→uniprot
2915	pdb:2clo	P0A2K1	trpB	pdb→sifts→uniprot
2916	pdb:2clv	P01901	H2-K1	pdb→sifts→uniprot
2917	pdb:2clx	P24941	CDK2	pdb→sifts→uniprot
2918	pdb:2cm7	P18031	PTPN1	pdb→sifts→uniprot
2919	pdb:2cm8	P18031	PTPN1	pdb→sifts→uniprot
2920	pdb:2cma	P18031	PTPN1	pdb→sifts→uniprot
2921	pdb:2cmb	P18031	PTPN1	pdb→sifts→uniprot
2922	pdb:2cmc	P18031	PTPN1	pdb→sifts→uniprot
2923	pdb:2cmf	P04058	ache	pdb→sifts→uniprot
2924	pdb:2cmo	P19491	Gria2	pdb→sifts→uniprot
2925	pdb:2cn0	P00734	F2	pdb→sifts→uniprot
2926	pdb:2cn8	O96017	CHEK2	pdb→sifts→uniprot
2927	pdb:2cne	P18031	PTPN1	pdb→sifts→uniprot
2928	pdb:2cnf	P18031	PTPN1	pdb→sifts→uniprot
2929	pdb:2cng	P18031	PTPN1	pdb→sifts→uniprot
2930	pdb:2cnh	P18031	PTPN1	pdb→sifts→uniprot
2931	pdb:2cni	P18031	PTPN1	pdb→sifts→uniprot
2932	pdb:2csm	P32178	ARO7	pdb→sifts→uniprot
2933	pdb:2csn	P40233	cki1	pdb→sifts→uniprot
2934	pdb:2ctc	P00730	CPA1	pdb→sifts→uniprot
2935	pdb:2cv3	P00772	CELA1	pdb→sifts→uniprot
2936	pdb:2cvd	O60760	HPGDS	pdb→sifts→uniprot
2937	pdb:2d06	P50225	SULT1A1	pdb→sifts→uniprot
2938	pdb:2d0k	P0ABQ4	folA	pdb→sifts→uniprot
2939	pdb:2d1n	P45452	MMP13	pdb→sifts→uniprot
2940	pdb:2d1o	P08254	MMP3	pdb→sifts→uniprot
2941	pdb:2d1x	Q14247	CTTN	pdb→sifts→uniprot
2942	pdb:2d2v	P74325		pdb→sifts→uniprot
2943	pdb:2d3u	Q99AU2		pdb→sifts→uniprot
2944	pdb:2d3z	Q99AU2		pdb→sifts→uniprot
2945	pdb:2d41	Q99AU2		pdb→sifts→uniprot
2946	pdb:2dbl	P01868	Ighg1	pdb→sifts→uniprot
2947	pdb:2ddf	P78536	ADAM17	pdb→sifts→uniprot
2948	pdb:2df6	O55043	Arhgef7	pdb→sifts→uniprot
2949	pdb:2doo	P52699		pdb→sifts→uniprot
2950	pdb:2dq7	P06241	FYN	pdb→sifts→uniprot
2951	pdb:2drc	P0ABQ4	folA	pdb→sifts→uniprot
2952	pdb:2dri	P02925	rbsB	pdb→sifts→uniprot
2953	pdb:2ds1	P24941	CDK2	pdb→sifts→uniprot
2954	pdb:2dua	Q84G06	pphA	pdb→sifts→uniprot
2955	pdb:2duv	P24941	CDK2	pdb→sifts→uniprot
2956	pdb:2dw7	Q89FH0	tarD	pdb→sifts→uniprot
2957	pdb:2dwx	Q9UJY5	GGA1	pdb→sifts→uniprot
2958	pdb:2dxs	P26663		pdb→sifts→uniprot
2959	pdb:2e1w	P56658	ADA	pdb→sifts→uniprot
2960	pdb:2e27			pdb_not_in_sifts
2961	pdb:2e2b	P00519	ABL1	pdb→sifts→uniprot
2962	pdb:2e2p	Q96Y14	ST2354	pdb→sifts→uniprot
2963	pdb:2e2r	P62508	ESRRG	pdb→sifts→uniprot
2964	pdb:2e5y	P07678	atpC	pdb→sifts→uniprot
2965	pdb:2e7f	Q46389	acsE	pdb→sifts→uniprot
2966	pdb:2e7l	P01897	H2-L	pdb→sifts→uniprot
2967	pdb:2e91	Q12051	BTS1	pdb→sifts→uniprot
2968	pdb:2e92	Q12051	BTS1	pdb→sifts→uniprot
2969	pdb:2e93	Q12051	BTS1	pdb→sifts→uniprot
2970	pdb:2e94	Q12051	BTS1	pdb→sifts→uniprot
2971	pdb:2e95	Q12051	BTS1	pdb→sifts→uniprot
2972	pdb:2e98	P60472	ispU	pdb→sifts→uniprot
2973	pdb:2e99	P60472	ispU	pdb→sifts→uniprot
2974	pdb:2e9a	P60472	ispU	pdb→sifts→uniprot
2975	pdb:2e9c	P60472	ispU	pdb→sifts→uniprot
2976	pdb:2e9d	P60472	ispU	pdb→sifts→uniprot
2977	pdb:2e9n	O14757	CHEK1	pdb→sifts→uniprot
2978	pdb:2e9o	O14757	CHEK1	pdb→sifts→uniprot
2979	pdb:2e9u	O14757	CHEK1	pdb→sifts→uniprot
2980	pdb:2e9v	O14757	CHEK1	pdb→sifts→uniprot
2981	pdb:2ea2	P50579	METAP2	pdb→sifts→uniprot
2982	pdb:2ea4	P50579	METAP2	pdb→sifts→uniprot
2983	pdb:2eep	Q7MUW6	ptpA	pdb→sifts→uniprot
2984	pdb:2eg7	P05020	pyrC	pdb→sifts→uniprot
2985	pdb:2eg8	P05020	pyrC	pdb→sifts→uniprot
2986	pdb:2eh8	Q2EID8	s	pdb→sifts→uniprot
2987	pdb:2ei6	P00742	F10	pdb→sifts→uniprot
2988	pdb:2emt	P26043	Rdx	pdb→sifts→uniprot
2989	pdb:2epn	Q6ST21		pdb→sifts→uniprot
2990	pdb:2er0	P11838	EAPA	pdb→sifts→uniprot
2991	pdb:2er6	P11838	EAPA	pdb→sifts→uniprot
2992	pdb:2er9	P11838	EAPA	pdb→sifts→uniprot
2993	pdb:2erz	P05132	Prkaca	pdb→sifts→uniprot
2994	pdb:2esm	Q13464	ROCK1	pdb→sifts→uniprot
2995	pdb:2etk	Q13464	ROCK1	pdb→sifts→uniprot
2996	pdb:2etm	Q05397	PTK2	pdb→sifts→uniprot
2997	pdb:2etr	Q13464	ROCK1	pdb→sifts→uniprot
